Ranking,Feature_Index,Avg_Score,Random Forest,Gradient Boosting,Logistic Regression,SVM Linear
1,176,0.8623513116107265,1.0,1.0,0.5870539348321795,0
2,177,0.48313791607163026,0.943333875157413,0.0003225460940469187,0.5057573269634309,0
3,91,0.4590831385523944,0.47526822823427234,0.0002689363023185822,0.9017122511205925,0
4,89,0.4420267675775185,0.33730804814006576,0.01949265329837198,0.9692796012941179,0
5,25,0.43425155480016153,0.6483370713117929,0.04619810760465686,0.6082194854840348,0
6,8,0.40665358324098194,0.37693802265906773,0.017285464814023783,0.8257372622498543,0
7,80,0.3891415402771438,0.1673127201848238,0.00011190064660765068,1.0,0
8,83,0.38228291285662963,0.21257112901199107,0.048107265096473915,0.8861703444614238,0
9,46,0.37665403762822924,0.2512917469419371,0.0041085090091721585,0.8745618569335784,0
10,60,0.3596209366764483,0.21986766451512463,1.2006559986616294e-17,0.8589951455142203,0
11,86,0.35218283536742717,0.25093347243060193,0.0014334549264804941,0.804181578745199,0
12,20,0.3514004648918288,0.26665089173621026,0.0001278523087325259,0.7874226506305437,0
13,13,0.34274288232471073,0.3529421910301103,0.021105310387870873,0.6541811455561509,0
14,69,0.3348011106000696,0.1654789118559116,1.0085007387799852e-05,0.8389143349369094,0
15,104,0.33399084210031044,0.13437685675988895,0.027154269295310705,0.8404414002457317,0
16,78,0.33068158832902167,0.13250501403451526,1.2006559986616294e-17,0.8595397509525496,0
17,39,0.3184050379542298,0.09361839344486236,0.08029094348821433,0.7813057769296127,0
18,160,0.31829163337776367,0.6384599471185416,0.0019853681215718086,0.3144295848931777,0
19,113,0.31800290593431185,0.1605235708414461,0.032430737935983625,0.7610544090255058,0
20,81,0.31567343246474827,0.10543092777241447,2.9898240885272725e-05,0.8415594713809451,0
